,song,artist,track_url,track_id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
22,My Way,Calvin Harris,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,1vvNmPOiUuyCbgWmtc6yfm,0.0935,https://api.spotify.com/v1/audio-analysis/1vvNmPOiUuyCbgWmtc6yfm,0.819,219160.0,0.913,3.72e-05,4.0,0.161,-3.059,0.0,0.0427,119.989,4.0,https://api.spotify.com/v1/tracks/1vvNmPOiUuyCbgWmtc6yfm,audio_features,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,0.536
23,All We Know,The Chainsmokers,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2rizacJSyD9S1IQUxUxnsK,0.097,https://api.spotify.com/v1/audio-analysis/2rizacJSyD9S1IQUxUxnsK,0.662,194080.0,0.586,0.00272,0.0,0.115,-8.821,1.0,0.0307,90.0,4.0,https://api.spotify.com/v1/tracks/2rizacJSyD9S1IQUxUxnsK,audio_features,spotify:track:2rizacJSyD9S1IQUxUxnsK,0.296
24,Don't Let Me Down,The Chainsmokers,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,0QsvXIfqM0zZoerQfsI9lm,0.16,https://api.spotify.com/v1/audio-analysis/0QsvXIfqM0zZoerQfsI9lm,0.542,208053.0,0.859,0.00466,11.0,0.137,-5.651,1.0,0.197,159.797,4.0,https://api.spotify.com/v1/tracks/0QsvXIfqM0zZoerQfsI9lm,audio_features,spotify:track:0QsvXIfqM0zZoerQfsI9lm,0.403
25,Treat You Better,Shawn Mendes,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,4Hf7WnR761jpxPr5D46Bcd,0.123,https://api.spotify.com/v1/audio-analysis/4Hf7WnR761jpxPr5D46Bcd,0.624,187973.0,0.803,0.0,10.0,0.114,-4.105,0.0,0.246,166.018,4.0,https://api.spotify.com/v1/tracks/4Hf7WnR761jpxPr5D46Bcd,audio_features,spotify:track:4Hf7WnR761jpxPr5D46Bcd,0.821
26,Heathens,Twenty One Pilots,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,6i0V12jOa3mr6uu4WYhUBr,0.0841,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,0.732,195920.0,0.396,3.58e-05,4.0,0.105,-9.348,0.0,0.0286,90.024,4.0,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,audio_features,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0.548
27,CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's |TROLLS|),Justin Timberlake,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,6JV2JOEocMgcZxYSZelKcc,0.0123,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,0.667,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,0.0749,113.03,4.0,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,audio_features,spotify:track:6JV2JOEocMgcZxYSZelKcc,0.701
28,Scars To Your Beautiful,Alessia Cara,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,0prNGof3XqfTvNDxHonvdK,0.0285,https://api.spotify.com/v1/audio-analysis/0prNGof3XqfTvNDxHonvdK,0.573,230227.0,0.739,0.0,0.0,0.111,-5.74,1.0,0.129,97.085,4.0,https://api.spotify.com/v1/tracks/0prNGof3XqfTvNDxHonvdK,audio_features,spotify:track:0prNGof3XqfTvNDxHonvdK,0.451
29,All Night,The Vamps,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,1yNyoWWWikbLhwIGWjZuDW,0.00251,https://api.spotify.com/v1/audio-analysis/1yNyoWWWikbLhwIGWjZuDW,0.563,197793.0,0.775,0.0,8.0,0.326,-6.433,1.0,0.0366,144.945,4.0,https://api.spotify.com/v1/tracks/1yNyoWWWikbLhwIGWjZuDW,audio_features,spotify:track:1yNyoWWWikbLhwIGWjZuDW,0.458
30,Cheap Thrills,Sia,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,27SdWb2rFzO6GWiYDBTD9j,0.0472,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,0.628,211667.0,0.698,0.00143,6.0,0.0907,-5.608,0.0,0.105,89.976,4.0,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,audio_features,spotify:track:27SdWb2rFzO6GWiYDBTD9j,0.732
31,Now and Later,Sage The Gemini,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd,43jBqV3j3Xi1g6wO0bhIMd,0.273,https://api.spotify.com/v1/audio-analysis/43jBqV3j3Xi1g6wO0bhIMd,0.781,193181.0,0.57,0.0,11.0,0.196,-5.874,0.0,0.188,107.059,4.0,https://api.spotify.com/v1/tracks/43jBqV3j3Xi1g6wO0bhIMd,audio_features,spotify:track:43jBqV3j3Xi1g6wO0bhIMd,0.858
32,Love Me Now,John Legend,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,6nxQdXa1uAL0rY72wPZu89,0.591,https://api.spotify.com/v1/audio-analysis/6nxQdXa1uAL0rY72wPZu89,0.488,210293.0,0.762,0.0,8.0,0.0763,-3.842,1.0,0.0865,123.889,4.0,https://api.spotify.com/v1/tracks/6nxQdXa1uAL0rY72wPZu89,audio_features,spotify:track:6nxQdXa1uAL0rY72wPZu89,0.709
33,By Your Side,Jonas Blue,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,1D3ODoXHBLpdxolZRHWV1j,0.0778,https://api.spotify.com/v1/audio-analysis/1D3ODoXHBLpdxolZRHWV1j,0.696,201254.0,0.743,0.0,6.0,0.0581,-3.838,1.0,0.0331,122.978,4.0,https://api.spotify.com/v1/tracks/1D3ODoXHBLpdxolZRHWV1j,audio_features,spotify:track:1D3ODoXHBLpdxolZRHWV1j,0.644
34,Reggaetón Lento (Bailemos),CNCO,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,3AEZUABDXNtecAOSC1qTfo,0.4,https://api.spotify.com/v1/audio-analysis/3AEZUABDXNtecAOSC1qTfo,0.761,222560.0,0.838,0.0,4.0,0.176,-3.073,0.0,0.0502,93.974,4.0,https://api.spotify.com/v1/tracks/3AEZUABDXNtecAOSC1qTfo,audio_features,spotify:track:3AEZUABDXNtecAOSC1qTfo,0.71
35,Alone,Alan Walker,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,0JiVRyTJcJnmlwCZ854K4p,0.186,https://api.spotify.com/v1/audio-analysis/0JiVRyTJcJnmlwCZ854K4p,0.676,161200.0,0.929,0.000405,10.0,0.121,-3.194,1.0,0.0458,97.019,4.0,https://api.spotify.com/v1/tracks/0JiVRyTJcJnmlwCZ854K4p,audio_features,spotify:track:0JiVRyTJcJnmlwCZ854K4p,0.157
36,The Mack,Nevada,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,7aV2mflaASUmGhCErm7kBO,0.0707,https://api.spotify.com/v1/audio-analysis/7aV2mflaASUmGhCErm7kBO,0.707,167038.0,0.883,0.0,0.0,0.23,-4.281,1.0,0.0602,106.031,4.0,https://api.spotify.com/v1/tracks/7aV2mflaASUmGhCErm7kBO,audio_features,spotify:track:7aV2mflaASUmGhCErm7kBO,0.541
37,I Would Like,Zara Larsson,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,4Q4jmPHwu0wrJvqrld0FQ6,0.0853,https://api.spotify.com/v1/audio-analysis/4Q4jmPHwu0wrJvqrld0FQ6,0.486,226720.0,0.713,0.0,2.0,0.0839,-3.949,0.0,0.0524,121.028,4.0,https://api.spotify.com/v1/tracks/4Q4jmPHwu0wrJvqrld0FQ6,audio_features,spotify:track:4Q4jmPHwu0wrJvqrld0FQ6,0.297
38,Shed a Light,Robin Schulz,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,1cG0umU5TKStygKsPFZ9pY,0.112,https://api.spotify.com/v1/audio-analysis/1cG0umU5TKStygKsPFZ9pY,0.483,191379.0,0.787,0.0,8.0,0.257,-5.244,1.0,0.102,122.058,4.0,https://api.spotify.com/v1/tracks/1cG0umU5TKStygKsPFZ9pY,audio_features,spotify:track:1cG0umU5TKStygKsPFZ9pY,0.58
39,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,17Fd6Yb7mSbinKG8LoWfFl,0.0353,https://api.spotify.com/v1/audio-analysis/17Fd6Yb7mSbinKG8LoWfFl,0.663,197933.0,0.713,7.68e-06,7.0,0.0843,-6.647,0.0,0.112,101.965,4.0,https://api.spotify.com/v1/tracks/17Fd6Yb7mSbinKG8LoWfFl,audio_features,spotify:track:17Fd6Yb7mSbinKG8LoWfFl,0.69
40,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,68EMU2RD1ECNeOeJ5qAXCV,0.621,https://api.spotify.com/v1/audio-analysis/68EMU2RD1ECNeOeJ5qAXCV,0.728,217707.0,0.563,0.0,1.0,0.179,-8.053,0.0,0.134,100.017,4.0,https://api.spotify.com/v1/tracks/68EMU2RD1ECNeOeJ5qAXCV,audio_features,spotify:track:68EMU2RD1ECNeOeJ5qAXCV,0.352
41,Hear Me Now,Alok,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,1a5Yu5L18qNxVhXx38njON,0.586,https://api.spotify.com/v1/audio-analysis/1a5Yu5L18qNxVhXx38njON,0.789,192846.0,0.442,0.00366,11.0,0.0927,-7.844,1.0,0.0421,121.971,4.0,https://api.spotify.com/v1/tracks/1a5Yu5L18qNxVhXx38njON,audio_features,spotify:track:1a5Yu5L18qNxVhXx38njON,0.45
42,Safari,J Balvin,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,6rQSrBHf7HlZjtcMZ4S4bO,0.551,https://api.spotify.com/v1/audio-analysis/6rQSrBHf7HlZjtcMZ4S4bO,0.508,205600.0,0.687,3.41e-06,0.0,0.126,-4.361,1.0,0.326,180.044,4.0,https://api.spotify.com/v1/tracks/6rQSrBHf7HlZjtcMZ4S4bO,audio_features,spotify:track:6rQSrBHf7HlZjtcMZ4S4bO,0.555
43,Broccoli (feat. Lil Yachty),DRAM,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,7yyRTcZmCiyzzJlNzGC9Ol,0.236,https://api.spotify.com/v1/audio-analysis/7yyRTcZmCiyzzJlNzGC9Ol,0.886,225205.0,0.525,0.0,8.0,0.057,-7.39,1.0,0.131,145.99,4.0,https://api.spotify.com/v1/tracks/7yyRTcZmCiyzzJlNzGC9Ol,audio_features,spotify:track:7yyRTcZmCiyzzJlNzGC9Ol,0.708
44,This Is What You Came For,Calvin Harris,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,0azC730Exh71aQlOt9Zj3y,0.199,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,0.63,222160.0,0.928,0.124,9.0,0.148,-2.787,0.0,0.0331,123.963,4.0,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,audio_features,spotify:track:0azC730Exh71aQlOt9Zj3y,0.465
